nodes;pipe 1;pipe 2;reduction_time;kernel_time;hs_st_time;k;st_result;ke_result;equal;ke_nodes;ke_edges;c_par;density
200;0;16.695;9.804;0.11;6.781;12;0;0;1;170;103;-1;2
200;0.016;11.717;8.105;0.078;3.534;12;0;0;1;252;113;-1;2
200;0;15.207;7.939;0.078;7.19;12;0;0;1;248;99;-1;2
200;0;14.147;8.456;0.078;5.613;12;0;0;1;191;95;-1;2
200;0;15.878;8.238;0.078;7.562;12;0;0;1;166;95;-1;2
200;0.016;12.753;7.971;0.078;4.704;12;0;0;1;124;89;-1;2
200;0.016;13.751;8.407;0.094;5.25;12;0;0;1;183;108;-1;2
200;0;16.723;8.377;0.078;8.268;12;0;0;1;185;103;-1;2
200;0.015;16.19;8.22;0.094;7.876;12;0;0;1;228;91;-1;2
200;0;11.954;8.157;0.078;3.719;12;0;0;1;113;77;-1;2
200;0.031;20.738;10.658;1.204;8.876;12;0;0;1;298;119;-1;4
200;0;19.069;10.926;1.219;6.924;12;0;0;1;259;99;-1;4
200;0;20.365;10.081;1.298;8.986;12;0;0;1;230;94;-1;4
200;0;22.223;9.798;1.297;11.128;12;0;0;1;360;123;-1;4
200;0;22.743;9.942;1.234;11.567;12;0;0;1;316;109;-1;4
200;0;20.944;9.923;1.331;9.69;12;0;0;1;433;123;-1;4
200;0;18.205;10.095;1.219;6.891;12;0;0;1;307;105;-1;4
200;0;27.934;9.806;1.157;16.971;12;0;0;1;402;138;-1;4
200;0;21.019;9.783;1.171;10.065;12;0;0;1;255;101;-1;4
200;0;19.24;10.738;1.234;7.268;12;0;0;1;314;113;-1;4
200;0;35.667;16.347;5.88;13.44;12;0;0;1;459;105;-1;6
200;0;33.291;16.914;5.829;10.548;12;0;0;1;344;116;-1;6
200;0.015;27.715;16.442;5.819;5.454;12;0;0;1;340;123;-1;6
200;0;36.587;16.584;5.812;14.191;12;0;0;1;465;114;-1;6
200;0.016;40.688;16.388;5.813;18.487;12;0;0;1;693;127;-1;6
200;0;33.727;16.461;5.953;11.313;12;0;0;1;414;109;-1;6
200;0.016;38.805;16.583;6.001;16.221;12;0;0;1;459;122;-1;6
200;0;36.545;15.861;5.65;15.034;12;0;0;1;470;124;-1;6
200;0.015;35.938;16.506;6.517;12.915;12;0;0;1;396;90;-1;6
200;0;38.681;16.381;6.158;16.142;12;0;0;1;486;120;-1;6
200;0;61.346;33.292;17.473;10.581;12;0;0;1;488;103;-1;8
200;0;63.66;33.241;17.432;12.987;12;0;0;1;592;108;-1;8
200;0.016;61.534;32.168;17.003;12.363;12;0;0;1;601;125;-1;8
200;0;60.495;31.551;17.175;11.769;12;0;0;1;528;127;-1;8
200;0;64.999;32.134;17.064;15.801;12;0;0;1;671;139;-1;8
200;0.015;64.456;32.278;17.707;14.471;12;0;0;1;447;109;-1;8
200;0;57.375;27.994;17.003;12.378;12;0;0;1;503;108;-1;8
200;0;57.093;27.305;17.265;12.523;12;0;0;1;474;106;-1;8
200;0;59.217;27.634;16.972;14.611;12;0;0;1;488;114;-1;8
200;0;60.588;29.788;17.932;12.868;12;0;0;1;309;99;-1;8
200;0;112.704;56.754;39.412;16.538;12;0;0;1;566;129;-1;9
200;0;109.655;54.599;39.366;15.69;12;0;0;1;571;130;-1;9
200;0;107.146;54.463;37.365;15.318;12;0;0;1;804;137;-1;9
200;0;107.02;62.513;36.472;8.035;12;0;0;1;649;126;-1;9
200;0.016;109.229;62.762;34.419;12.048;12;0;0;1;519;115;-1;9
200;0.016;104.404;54.703;35.026;14.675;12;0;0;1;557;116;-1;10
200;0.016;115.389;64.655;38.325;12.409;12;0;0;1;730;139;-1;10
200;0;118.926;66.211;38.142;14.573;12;0;0;1;670;105;-1;10
200;0;125.783;66.749;37.265;21.769;12;0;0;1;665;116;-1;10
200;0;118.206;65.837;34.601;17.768;12;0;0;1;620;118;-1;10
200;0;204.699;120.327;69.572;14.8;12;0;0;1;774;110;-1;11
200;0.016;212.707;125.852;73.207;13.648;12;0;0;1;641;133;-1;11
200;0;192.841;105.787;70.13;16.924;12;0;0;1;688;99;-1;11
200;0;195.805;103.921;77.335;14.549;12;0;0;1;536;127;-1;11
200;0;199.513;100.323;77.875;21.315;12;0;0;1;804;125;-1;11
200;0.015;194.244;99.667;78.341;16.236;12;0;0;1;621;99;-1;11
200;0;198.824;103.563;82.524;12.737;12;0;0;1;727;113;-1;11
200;0;203.066;103.171;82.456;17.439;12;0;0;1;655;129;-1;11
200;0;213.396;107.452;81.875;24.069;12;0;0;1;735;135;-1;11
200;0;209.715;115.581;79.162;14.972;12;0;0;1;473;110;-1;11
200;0;375.62;213.376;145.992;16.252;12;0;0;1;499;116;-1;13
200;0;340.591;192.886;131.527;16.178;12;0;0;1;526;119;-1;13
200;0;328.252;194.508;120.476;13.268;12;0;0;1;501;106;-1;13
200;0;317.489;181.431;118.523;17.535;12;0;0;1;791;127;-1;13
200;0.015;317.297;180.509;121.637;15.151;12;0;0;1;461;122;-1;13
200;0;324.22;189.011;118.035;17.174;12;0;0;1;745;128;-1;13
200;0;327.98;190.504;122.006;15.47;12;0;0;1;872;137;-1;13
200;0;313.607;175.222;119.834;18.551;12;0;0;1;776;122;-1;13
200;0;331.113;184.01;131.74;15.363;12;0;0;1;689;115;-1;13
200;0;356.701;201.663;138.143;16.895;12;0;0;1;476;101;-1;13
200;0;572.729;336.854;223.109;12.766;12;0;0;1;616;130;-1;15
200;0;608.027;360.318;230.442;17.267;12;0;0;1;682;99;-1;15
200;0.016;537.813;314.481;209.311;14.021;12;0;0;1;625;107;-1;15
200;0;525.776;317.121;197.747;10.908;12;0;0;1;686;117;-1;15
200;0;545.249;342.12;191.347;11.782;12;0;0;1;754;111;-1;15
200;0.015;581.738;375.134;194.836;11.768;12;0;0;1;659;110;-1;15
200;0;563.464;347.47;195.401;20.593;12;0;0;1;781;121;-1;15
200;0;573.409;341.473;216.863;15.073;12;0;0;1;724;124;-1;15
200;0;589.259;362.162;215.187;11.91;12;0;0;1;643;119;-1;15
200;0.016;598.453;367.268;215.509;15.676;12;0;0;1;664;127;-1;15
200;0;836.035;510.62;308.265;17.15;12;0;0;1;673;121;-1;16
200;0;731.856;450.463;271.517;9.876;12;0;0;1;690;100;-1;16
200;0;812.411;518.329;282.067;12.015;12;0;0;1;606;138;-1;16
200;0;779.315;459.577;300.345;19.393;12;0;0;1;735;131;-1;16
200;0.015;818.138;488.27;315.382;14.486;12;0;0;1;684;139;-1;16
200;0;776.536;472.908;290.36;13.268;12;0;0;1;729;124;-1;16
200;0;776.664;459.337;296.433;20.894;12;0;0;1;663;121;-1;16
200;0;801.49;466.756;316.685;18.049;12;0;0;1;1143;130;-1;16
200;0;772.579;475.478;283.41;13.691;12;0;0;1;764;111;-1;16
200;0;820.998;497.409;304.821;18.768;12;0;0;1;747;114;-1;16
